ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
221,*,Doxorubicin Hydrochloride,"
non-Hodgkinlymphoma
",,,,,,
222,*,Doxorubicin Hydrochloride,small cell lung cancer,,,,,,
223,IMFINZI,Durvalumab,biliary tract cancer,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50",,,,Yes
224,IMFINZI,Durvalumab,hepatocellular carcinoma,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50",,,,
225,"EGFR, ALK, epidermal growth factor receptor, IMFINZI",Durvalumab,non-small cell lung cancer,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50",,,,Yes
226,IMFINZI,Durvalumab,bladder cancer,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50",,,,
227,IMFINZI,Durvalumab,endometrial cancer,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50",,,,Yes
228,"EGFR, ALK, epidermal growth factor receptor, IMFINZI",Durvalumab,small cell lung cancer,"IMFINZI- durvalumab injection, solution","0310-4500-12, 0310-4611-50",,Yes,,Yes
229,*,Duvelisib,Chronic lymphocytic leukemia,COPIKTRA- duvelisib capsule,"71779-115-01, 71779-115-02, 71779-115-03, 71779-125-01, 71779-125-02, 71779-125-04",,,,
230,*,Duvelisib,small lymphocytic lymphoma,COPIKTRA- duvelisib capsule,"71779-115-01, 71779-115-02, 71779-115-03, 71779-125-01, 71779-125-02, 71779-125-04",,,,
231,*,Eflornithine Hydrochloride,Neuroblastoma,IWILFIN- eflornithine hydrochloride tablet,78670-150-01,,,,
232,*,Elacestrant Dihydrochloride,Breast cancer,"ORSERDU- elacestrant tablet, film coated","72187-0101-3, 72187-0102-3",,,,
233,*,Elotuzumab,Multiple myeloma,"EMPLICITI- elotuzumab injection, powder, lyophilized, for solution","0003-2291-11, 0003-4522-11",,,,
234,*,Elranatamab-bcmm,Multiple myeloma,"ELREXFIO- elranatamab-bcmm injection, solution","0069-2522-01, 0069-2522-02, 0069-4494-01, 0069-4494-02",,,,
235,*,Eltrombopag Olamine,Thrombocytopenia,,,,,,
236,*,Emapalumab-lzsg,Hemophagocytic lymphohistiocytosis,,,,,,
237,"isocitrate dehydrogenase-2, IDH2",Enasidenib Mesylate,Acute myeloid leukemia,"IDHIFA- enasidenib mesylate tablet, film coated","59572-705-30, 59572-710-30",,,,
238,*,Encorafenib,Non-small cell lung cancer,BRAFTOVI- encorafenib capsule,"70255-025-01, 70255-025-02, 70255-025-03, 70255-025-04, 70255-025-05, 70255-025-06",,,,
239,*,Encorafenib,Melanoma,BRAFTOVI- encorafenib capsule,"70255-025-01, 70255-025-02, 70255-025-03, 70255-025-04, 70255-025-05, 70255-025-06",,,,
